In CClientMusic::RegisterSteamMusicRemote callback size mismatch ! CallbackID 3221, size 4, expected size 1
In CRemoteClientStream::PostCallbackToUI<StreamClientResult_t> callback size mismatch ! CallbackID 3502, size 4, expected size 1
Manual analysis required for CClientJobP2PConnectionInfo::BYieldingRunClientJob
ID 101, Size 1, Sent in CCMInterface::RecvMsgClientLogOnResponse 
ID 102, Size 8, Sent in CCMInterface::ConnectFailed CCMInterface::ConnectionDisconnected CCMInterface::ScheduleImmediateReconnect CCMInterface::YieldingConnect CClientJobAuthorizeEmbeddedClient::BYieldingRunAPIJob 
ID 113, Size 16, Sent in CCMInterface::RecvPkt 
ID 115, Size 1, Sent in CCMInterface::RecvPkt 
ID 125, Size 1, Sent in CUser::BCheckUserLicensesUpdate CUserAppManager::SetDlcEnabled 
ID 143, Size 20, Sent in CClientJobTicketAuthComplete::BYieldingRunClientJob 
ID 152, Size 16, Sent in CUser::NotifyAppMicroTxnAuthResponse 
ID 163, Size 8, Sent in CBaseUser::NotifyOfReceipt 
ID 164, Size 256, Sent in CUser::SendGameWebCallback 
ID 167, Size 32, Sent in CUser::OnScheduledDurationControlCheck 
ID 201, Size 16, Sent in CGSClientJobGSApprove::BYieldingRunClientJob 
ID 202, Size 140, Sent in CGSClientJobGSDeny::BYieldingRunClientJob CGameServer::RunUserTimeoutCheck CGameServer::SendUserConnectAndAuthenticate 
ID 203, Size 12, Sent in CGSClientJobGSKick::BYieldingRunClientJob CGameServer::_GSSendUserDisconnect 
ID 204, Size 8, Sent in CGameServer::_GSSendSteam2UserConnect 
ID 206, Size 140, Sent in CGSClientJobGetUserAchievementStatus::BYieldingRunClientJob 
ID 207, Size 16, Sent in CAPIJobGSGetGameplayStats::BYieldingRunAPIJob 
ID 208, Size 18, Sent in CGSClientJobReceiveUserGroupStatus::BYieldingRunClientJob 
ID 211, Size 24, Sent in CAPIJobGSComputeNewPlayerCompatibility::BYieldingRunAPIJob 
ID 304, Size 12, Sent in CClientGetFriendsSteamLevelsResponse::BYieldingRunClientJob CUserFriends::AddPlayerNicknameInternal CUserFriends::PostPersonaStateCallback CUserFriends::RemoveClFriendSource CUserFriends::SetPersonaNameLocal 
ID 331, Size 1, Sent in CUserFriends::NotifyGameOverlayStateChanged 
ID 332, Size 128, Sent in CUserFriends::NotifyGameServerChangeRequested 
ID 333, Size 16, Sent in CUserFriends::NotifyLobbyJoinRequested 
ID 334, Size 20, Sent in CUserFriends::OnClanAvatarLoaded CUserFriends::OnFriendAvatarLoaded 
ID 336, Size 12, Sent in CClientJobPersonaState::BYieldingRunClientJob CClientJobRichPresenceInfo::BYieldingRunClientJob CUserFriends::RequestFriendRichPresence 
ID 337, Size 264, Sent in CUserFriends::NotifyRichPresenceJoinRequested 
ID 338, Size 20, Sent in CBaseUser::PostCallbackToPipes<GameConnectedClanChatMsg_t> 
ID 339, Size 16, Sent in CBaseUser::PostCallbackToPipes<GameConnectedChatJoin_t> 
ID 340, Size 18, Sent in CBaseUser::PostCallbackToPipes<GameConnectedChatLeave_t> 
ID 343, Size 12, Sent in CBaseUser::PostCallbackToPipes<GameConnectedFriendChatMsg_t> 
ID 348, Size 1, Sent in CUserFriends::SetNumChatsWithUnreadPriorityMessages 
ID 349, Size 1024, Sent in CUserFriends::HandleProtocolForOverlayBrowser 
ID 404, Size 4136, Sent in PostPurchaseCallback 
ID 405, Size 1032, Sent in PostPurchaseCallback 
ID 501, Size 1, Sent in CUser::AddFavoriteGameInternal CUser::LoadFavoritesFromLocalVDF CUser::RemoveFavoriteGame 
ID 502, Size 28, Sent in CUser::AddFavoriteGameInternal CUser::LoadFavoritesFromLocalVDF CUser::RemoveFavoriteGame 
ID 503, Size 24, Sent in CClientJobChatInvite::BYieldingRunClientJob 
ID 504, Size 20, Sent in CAPIJobMatchmakingCreateLobby::BYieldingRunAPIJob CAPIJobMatchmakingJoinLobby::BYieldingRunAPIJob 
ID 505, Size 20, Sent in CAPIJobMatchmakingCreateLobby::BYieldingRunAPIJob CAPIJobMatchmakingJoinLobby::BYieldingRunAPIJob CClientJobMatchmakingLobbyData::BYieldingRunClientJob CUserMatchmaking::RequestLobbyData CUserMatchmaking::SetLobbyMemberData 
ID 506, Size 28, Sent in CAPIJobMatchmakingRequestLobbyStatus::BYldVerifyLobby CClientJobMatchmakingUserJoinedLobby::BYieldingRunClientJob CClientJobMatchmakingUserLeftLobby::BYieldingRunClientJob CUserFriends::UpdateChatMemberState 
ID 507, Size 24, Sent in CUserFriends::SendChatMsg CUserMatchmaking::RecordLobbyChatMsg 
ID 509, Size 24, Sent in CClientJobMatchmakingLobbyGameServerSet::BYieldingRunClientJob 
ID 510, Size 4, Sent in CAPIJobMatchmakingRequestLobbyList::BYieldingRunAPIJob 
ID 512, Size 20, Sent in CUserFriends::UpdateChatMemberState 
ID 513, Size 12, Sent in CAPIJobMatchmakingCreateLobby::BYieldingRunAPIJob 
ID 514, Size 24, Sent in CAPIJobMatchmakingRequestFriendsLobbies::BYieldingRunAPIJob 
ID 701, Size 1, Sent in CClientJobAccountInfo::BYieldingRunClientJob 
ID 702, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<LowBatteryPower_t> 
ID 703, Size 16, Sent in CSteamEngine::PostAPIResult 
ID 704, Size 1, Sent in CSteamEngine::SignalServiceAppsToDisconnect CUser::SignalAppsToShutDown 
ID 711, Size 260, Sent in CConfigStore::BEnsureInitialized CConfigStore::FlushToDisk CSteamEngine::PostCallbackToAllUsers<SteamConfigStoreChanged_t> 
ID 713, Size 4244, Sent in CSteamEngine::PostCallbackToAllUsers<ShowGamepadTextInput_t> 
ID 714, Size 8, Sent in CSteamEngine::GamepadTextInputClosed 
ID 715, Size 8, Sent in CSteamEngine::PostCallbackToAllUsers<FocusedSteamWindowChanged_t> 
ID 717, Size 2, Sent in CSiteServerUIQuitJob::BYieldingRunJobFromHTTPRequest CSteamEngine::PostCallbackToAllUI<ShutdownLauncher_t> 
ID 718, Size 1, Sent in CSteamEngine::StartVRDashboard 
ID 720, Size 8, Sent in CSteamEngine::SetVRHeadsetStreamingEnabled 
ID 721, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<HIDDeviceChanged_t> 
ID 722, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<OverlayChatBrowserInfoChanged_t> 
ID 723, Size 24584, Sent in CSteamEngine::DispatchClientUINotification 
ID 724, Size 16, Sent in CSteamEngine::RespondToClientUINotification 
ID 725, Size 264, Sent in CSteamEngine::DispatchClientUICommand 
ID 726, Size 8, Sent in CSteamEngine::PostCallbackToAllUI<ComputerActiveStateChange_t> 
ID 727, Size 4, Sent in CUserFriends::SetPersonaStateInternal 
ID 728, Size 1032, Sent in CSteamEngine::PostCallbackToAllUI<OpenURLInClient_t> 
ID 729, Size 8, Sent in CSteamEngine::SetCurrentUIMode 
ID 731, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<ClearAllBrowsingData_t> 
ID 732, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<ClientSettingsChanged_t> 
ID 733, Size 4288, Sent in CSteamEngine::PostCallbackToAllUI<ClientPostMessage_t> 
ID 801, Size 8472, Sent in CUserFriends::ActivateGameOverlayInviteDialog CUserFriends::ActivateGameOverlayInviteDialogConnectString CUserFriends::ActivateGameOverlayRemotePlayTogetherInviteDialog CUserFriends::ActivateGameOverlayToStore CUserFriends::ActivateGameOverlayToUser CUserFriends::ActivateGameOverlayToWebPage 
ID 802, Size 284, Sent in CClientJobClanState::BAddEventOrAnnoucement CUserFriends::ScheduledCheckForPostingClanEvents 
ID 803, Size 12, Sent in CClientJobAddFriendResponse::BYieldingRunClientJob 
ID 804, Size 8, Sent in CUserFriends::PostOutstandingRequestFriendshipCallbacks 
ID 805, Size 28, Sent in CClientJobFriendMsgIncoming::BYieldingRunClientJob CUserFriends::RecordSentMsgToFriendAndPostCallbackToUI 
ID 807, Size 156, Sent in CClientJobChatInvite::BYieldingRunClientJob 
ID 808, Size 176, Sent in CClientJobChatEnter::BYieldingRunClientJob CUserFriends::JoinChatRoom 
ID 809, Size 28, Sent in CUserFriends::UpdateChatMemberState 
ID 810, Size 24, Sent in CClientJobChatMsg::BYieldingRunClientJob CUserFriends::SendChatMsg 
ID 811, Size 8, Sent in CUserFriends::LeaveChatRoom 
ID 812, Size 8, Sent in CClientJobChatRoomInfo::BYieldingRunClientJob 
ID 813, Size 16, Sent in CUserFriends::UpdateChatMemberState 
ID 814, Size 16, Sent in CUserFriends::UpdateChatMemberState 
ID 815, Size 20, Sent in CClientJobChatCreate::BYieldingRunClientJob CUserFriends::CreateChatRoom 
ID 816, Size 12, Sent in CUserFriends::OpenChatDialog 
ID 817, Size 28, Sent in CClientJobChatActionResult::BYieldingRunClientJob 
ID 818, Size 8, Sent in CUserFriends::SerializeChatRoomDlg 
ID 819, Size 12, Sent in CClientJobClanState::BYieldingRunClientJob CClientJobFriendsList::BYieldingRunClientJob CClientJobPersonaState::BYieldingRunClientJob CUserFriends::OnClanAvatarLoaded 
ID 820, Size 20, Sent in CUserFriends::UpdateChatMemberInfo 
ID 821, Size 20, Sent in CClientJobChatRoomInfo::BYieldingRunClientJob 
ID 823, Size 20, Sent in CUserFriends::ProcessChatRoomActionResult CUserFriends::UpdateChatMemberState 
ID 824, Size 24, Sent in CUserFriends::NotifyIncomingCall 
ID 825, Size 8, Sent in CUserFriends::NotifyHangup 
ID 826, Size 4, Sent in CUserFriends::FlashWindow 
ID 827, Size 16, Sent in CUserFriends::NotifyMUCStateChanged 
ID 828, Size 12, Sent in CUserFriends::NotifyChatRoomDlgsOfUIChange 
ID 829, Size 20, Sent in CUserFriends::VoiceCallInternal CUserFriends::VoiceCallNew 
ID 830, Size 24, Sent in CClientJobSetIgnoreFriend::BYieldingRunAPIJob 
ID 831, Size 1, Sent in CUserFriends::ReinitAudio 
ID 832, Size 1, Sent in CUserFriends::RunFrame 
ID 833, Size 8, Sent in CUserFriends::RequestFriendsWhoPlayGame CUserFriends::UpdateFriendsWhoPlayGame 
ID 835, Size 268, Sent in CClientJobInviteToGame::BYieldingRunClientJob 
ID 836, Size 4, Sent in CUserFriends::NotifyUIOfMenuChange 
ID 839, Size 8, Sent in CClientJobIncomingTradeSessionStart::BYieldingRunClientJob 
ID 840, Size 16, Sent in CClientJobInitiateTradeResult::BYieldingRunClientJob 
ID 841, Size 1, Sent in CUserFriends::UpdateInGameVoiceSpeakingState 
ID 842, Size 8, Sent in CClientJobCreateFriendsGroup::BYieldingRunAPIJob 
ID 843, Size 8, Sent in CClientJobDeleteFriendsGroup::BYieldingRunAPIJob 
ID 844, Size 4, Sent in CClientJobRenameFriendsGroup::BYieldingRunAPIJob 
ID 845, Size 4, Sent in CClientJobAddFriendToGroup::BYieldingRunAPIJob 
ID 846, Size 4, Sent in CClientJobRemoveFriendFromGroup::BYieldingRunAPIJob 
ID 848, Size 4, Sent in CClientJobSetPlayerNickname::BYieldingRunAPIJob 
ID 849, Size 1, Sent in CClientJobEmoticonList::BYieldingRunClientJob 
ID 850, Size 16, Sent in CUserFriends::JoinChatRoomGroup 
ID 851, Size 8, Sent in WebBrowser_ShowJoinGameDialog 
ID 852, Size 32, Sent in CUserFriends::ShowChatRoomGroupInvite 
ID 853, Size 8, Sent in CUserFriends::OpenInviteToTradeDialog 
ID 854, Size 8, Sent in WebBrowser_ViewGameInfoForSteamID 
ID 855, Size 1, Sent in CUserFriends::RunFrame 
ID 856, Size 2, Sent in CUserFriends::OpenFriendsDialog 
ID 901, Size 4108, Sent in CClientJobSystemIM::BYieldingRunClientJob 
ID 903, Size 2, Sent in CUser::NotifyPrimaryChatDestination 
ID 904, Size 1, Sent in CCMInterface::ScheduledAttemptReconnect 
ID 909, Size 4, Sent in CClientJobUninstallClientApp::BYieldingRunClientJob 
ID 911, Size 12, Sent in CClientJobNewsItemUpdateMsg::BYieldingRunClientJob 
ID 912, Size 32, Sent in CClientJobNewsItemUpdateMsg::BYieldingRunClientJob 
ID 913, Size 12, Sent in CClientJobNewsItemUpdateMsg::BYieldingRunClientJob 
ID 914, Size 520, Sent in CCMInterface::RecvPkt 
ID 915, Size 1, Sent in CClientJobAccountInfo::BYieldingRunClientJob CClientJobEmailAddrInfo::BYieldingRunClientJob 
ID 917, Size 20, Sent in CClientJobAckGuestPassResponse::BYieldingRunClientJob CUser::AckGuestPass 
ID 918, Size 12, Sent in CClientJobRedeemGuestPassResponse::BYieldingRunClientJob CUser::RedeemGuestPass 
ID 919, Size 12, Sent in CClientJobUpdateGuestPassesList::BYieldingRunClientJob 
ID 920, Size 1, Sent in CUser::NewLoginKeyFromServer 
ID 924, Size 12, Sent in CClientDRMDownloadJob::BYieldingRunAPIJob 
ID 928, Size 4, Sent in CClientJobGetAppOwnershipTicketResponse::BYieldingRunClientJob 
ID 930, Size 16, Sent in CUser::AddClientGame CUser::InternalRemoveClientGame 
ID 936, Size 132, Sent in CClientDRMDownloadJob::BYieldingDownloadFile 
ID 937, Size 1, Sent in CClientJobMarketingMessageUpdate2Msg::BYieldingRunClientJob 
ID 938, Size 4, Sent in CClientJobRequestValidateMail::BYieldingRunAPIJob 
ID 940, Size 4, Sent in CClientJobVerifyPassword::BYieldingRunAPIJob 
ID 942, Size 1025, Sent in CClientJobGetWGAuthToken::BYieldingRunAPIJob 
ID 943, Size 16, Sent in CClientJobMicroTxnAuthRequest::BYieldingRunClientJob 
ID 944, Size 8, Sent in CAPIJobAuthorizeMicroTxn::BYieldingRunAPIJob 
ID 946, Size 4, Sent in CUser::InternalRemoveClientGame CUser::ProcessAppLastPlayedTimes 
ID 948, Size 1, Sent in CUser::SetWalletInfo 
ID 949, Size 4, Sent in CClientJobRequestMachineAuth::BYieldingRunAPIJob 
ID 955, Size 74, Sent in CUser::SetAccountNameForCachedCredentialLogin CUser::SetLoginInformation 
ID 958, Size 4, Sent in CClientJobUpdateItemAnnouncements::BYieldingRunClientJob 
ID 960, Size 12, Sent in CClientJobUpdateCommentNotifications::BYieldingRunClientJob 
ID 961, Size 524, Sent in CClientJobFriendUserStatusPublished::BYieldingRunClientJob 
ID 962, Size 4, Sent in CClientJobUpdateOfflineMessageCount::BYieldingRunClientJob 
ID 963, Size 20, Sent in CClientJobReceiveFriendMessageHistory::BYieldingRunClientJob CUserFriends::RequestFriendMessageHistory 
ID 965, Size 256, Sent in CCMInterface::RecvMsgClientLogOnResponse CClientJobVanityURLChangedNotification::BYieldingRunClientJob 
ID 966, Size 12, Sent in CClientJobGetSteamGuardDetails::BYieldingRunAPIJob 
ID 967, Size 4, Sent in CClientJobSetSteamGuardNewMachineDialogResponse::BYieldingRunAPIJob 
ID 968, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<StartStreamingUI_t> CUser::StartNVStreaming 
ID 969, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<StopStreamingUI_t> CUser::StopNVStreaming 
ID 970, Size 8, Sent in CUser::SetAppLastPlayedTime CUserShortcuts::LaunchShortcut 
ID 971, Size 8, Sent in CClientJobUpdateUserNotifications::BYieldingRunClientJob 
ID 972, Size 1, Sent in CUser::LogOnOfflineMode 
ID 973, Size 1, Sent in CUser::BCacheOfflineLogonTicket 
ID 976, Size 4, Sent in CUserOnGameNotificationsRequested_Job::YieldingRunMethod 
ID 977, Size 4, Sent in CUser::SetPlayingSessionState 
ID 978, Size 12, Sent in CSteamEngine::CheckForOverlayInstancesNeeded 
ID 979, Size 12, Sent in CSteamEngine::CheckForOverlayInstancesNeeded 
ID 981, Size 8, Sent in CClientJobGetTwoFactorDetails::BYieldingRunAPIJob 
ID 985, Size 388, Sent in CSteamEngine::PostCallbackToAllUI<VRHMDHardwareDetected_t> 
ID 986, Size 8, Sent in CClientJobCheckoutSiteLicenseSeat::BYieldingRunAPIJob CSiteLicenseClientJob_SiteManagerClient_SeatCheckoutNotification::YieldingRunMethod CUser::CheckoutSiteLicenseSeat 
ID 987, Size 7, Sent in CClientJobPostLogon::PostLogonStateChangeCallback 
ID 988, Size 16, Sent in CAPIJobRequestAccountLinkInfo::BYieldingRunAPIJob 
ID 989, Size 8, Sent in CBaseUser::SetAccountFlags CClientJobAcceptSSA::BYieldingRunAPIJob CUser::ClearNeedsSSANextSteamLogon 
ID 990, Size 8, Sent in CClientJobGetAvailableSeats::BYieldingRunAPIJob CUser::GetAvailableSeats 
ID 991, Size 24, Sent in PostNewSteamAnnouncementStateCallback 
